txn_id,account_no,region,branch_code,txn_type,amount,status,timestamp,device_type,customer_type,location
TX0001,AC766519,East,BR103,NEFT,10641.85,Failed,2025-07-25 07:49:14,ATM,Corporate,Assam
TX0002,AC193442,East,BR101,NEFT,37915.06,Failed,2025-08-02 14:01:56,POS,Corporate,Bihar
TX0003,AC640266,East,BR109,UPI,5885.1,Success,2025-07-28 16:16:56,POS,Corporate,Assam
TX0004,AC185129,East,BR101,CHEQUE,108365.88,Success,2025-07-27 20:29:24,ATM,Individual,Odisha
TX0005,AC685415,East,BR114,CHEQUE,37197.15,Failed,2025-08-07 07:10:08,ATM,Corporate,Odisha
TX0006,AC884404,East,BR116,CHEQUE,42199.6,Success,2025-08-08 05:28:46,POS,Corporate,Bihar
TX0007,AC824294,East,BR102,UPI,938.32,Success,2025-08-07 13:25:25,POS,Individual,Odisha
TX0008,AC732688,East,BR115,UPI,247.19,Success,2025-08-08 17:11:20,POS,Individual,Odisha
TX0009,AC219024,East,BR102,NEFT,17457.67,Success,2025-07-30 04:27:02,mobile,Individual,Jharkhand
TX0010,AC210886,East,BR106,CHEQUE,47416.13,Success,2025-07-31 20:13:31,ATM,Corporate,West Bengal
TX0011,AC964469,East,BR105,CHEQUE,186105.31,Success,2025-08-06 15:40:26,web,Individual,Assam
TX0012,AC293390,East,BR108,CHEQUE,158717.47,Success,2025-07-22 13:07:41,web,Individual,Odisha
TX0013,AC138452,East,BR103,CHEQUE,170473.13,Success,2025-07-15 11:48:57,mobile,Corporate,West Bengal
TX0014,AC342796,East,BR103,NEFT,45940.03,Success,2025-07-31 09:43:55,ATM,Corporate,Odisha
TX0015,AC549189,East,BR110,MANDATE,32376.91,Success,2025-07-16 11:30:15,POS,Corporate,Jharkhand
TX0016,AC131226,East,BR103,UPI,2827.63,Success,2025-07-27 16:18:00,mobile,Individual,West Bengal
TX0017,AC142523,East,BR115,MANDATE,49591.0,Success,2025-07-26 11:23:30,mobile,Corporate,West Bengal
TX0018,AC827519,East,BR118,NEFT,51790.31,Success,2025-08-06 08:33:48,mobile,Individual,West Bengal
TX0019,AC807707,East,BR109,NEFT,31523.04,Success,2025-07-31 12:13:50,mobile,Corporate,Jharkhand
TX0020,AC405480,East,BR108,NEFT,71612.15,Success,2025-07-30 12:27:50,POS,Corporate,Odisha
TX0021,AC317788,East,BR109,NEFT,77419.21,Success,2025-08-01 12:48:34,POS,Individual,West Bengal
TX0022,AC208184,East,BR116,NEFT,98049.79,Success,2025-07-23 18:37:48,mobile,Individual,Jharkhand
TX0023,AC784739,East,BR104,UPI,8965.29,Success,2025-08-06 15:23:23,web,Corporate,West Bengal
TX0024,AC474022,East,BR117,NEFT,54738.4,Success,2025-07-26 05:19:55,web,Corporate,Assam
TX0025,AC706970,East,BR115,MANDATE,35747.18,Success,2025-08-05 04:17:01,POS,Corporate,Odisha
TX0026,AC215116,East,BR110,UPI,6995.02,Success,2025-07-15 08:17:05,ATM,Corporate,West Bengal
TX0027,AC844693,East,BR110,UPI,2205.91,Success,2025-07-21 19:19:52,mobile,Corporate,West Bengal
TX0028,AC841047,East,BR117,UPI,1795.79,Pending,2025-07-17 07:33:24,POS,Individual,Jharkhand
TX0029,AC717972,East,BR113,CHEQUE,113880.22,Success,2025-07-31 07:18:20,mobile,Corporate,West Bengal
TX0030,AC364977,East,BR112,UPI,5088.22,Success,2025-08-06 02:35:38,ATM,Corporate,West Bengal
TX0031,AC323289,East,BR112,NEFT,18711.21,Failed,2025-07-27 09:39:12,ATM,Corporate,Jharkhand
TX0032,AC805292,East,BR108,NEFT,26730.66,Success,2025-07-20 21:03:43,mobile,Corporate,Odisha
TX0033,AC171783,East,BR112,UPI,2278.08,Success,2025-07-30 22:39:55,ATM,Individual,West Bengal
TX0034,AC496072,East,BR108,NEFT,87454.74,Success,2025-07-31 18:03:02,ATM,Individual,Bihar
TX0035,AC358703,East,BR118,UPI,8330.5,Success,2025-08-07 00:03:06,ATM,Individual,Jharkhand
TX0036,AC711116,East,BR103,NEFT,6803.68,Success,2025-07-28 15:35:21,web,Individual,Jharkhand
TX0037,AC391507,East,BR106,NEFT,70169.47,Failed,2025-08-06 11:45:55,mobile,Individual,West Bengal
TX0038,AC680227,East,BR106,UPI,7935.87,Success,2025-07-31 21:22:44,POS,Corporate,Bihar
TX0039,AC472207,East,BR104,NEFT,58391.6,Success,2025-07-21 00:09:36,POS,Corporate,Bihar
TX0040,AC497757,East,BR118,UPI,3418.6,Success,2025-07-20 11:07:38,POS,Individual,Jharkhand
TX0041,AC942564,East,BR108,UPI,6786.62,Success,2025-07-23 04:56:58,POS,Corporate,West Bengal
TX0042,AC858348,East,BR119,CHEQUE,85703.84,Success,2025-07-15 05:47:00,POS,Corporate,Jharkhand
TX0043,AC368999,East,BR115,CHEQUE,159010.26,Success,2025-08-01 18:47:40,ATM,Individual,Bihar
TX0044,AC535153,East,BR111,CHEQUE,55248.3,Success,2025-07-24 10:26:59,mobile,Individual,Assam
TX0045,AC868104,East,BR113,NEFT,33311.33,Success,2025-07-28 16:05:49,mobile,Corporate,West Bengal
TX0046,AC132293,East,BR105,NEFT,95608.82,Pending,2025-07-17 13:28:07,web,Individual,Jharkhand
TX0047,AC173954,East,BR103,UPI,7642.07,Pending,2025-07-18 00:16:12,ATM,Individual,Bihar
TX0048,AC856589,East,BR104,UPI,3346.72,Success,2025-08-04 21:41:42,web,Corporate,Bihar
TX0049,AC838696,East,BR107,UPI,2478.49,Success,2025-07-21 13:11:43,web,Individual,Assam
TX0050,AC985361,East,BR113,UPI,1680.92,Success,2025-07-25 21:21:06,mobile,Individual,Jharkhand
TX0051,AC801945,East,BR108,NEFT,32296.37,Failed,2025-08-08 13:09:31,web,Corporate,West Bengal
TX0052,AC598402,East,BR105,MANDATE,6947.82,Success,2025-08-04 09:17:22,web,Individual,Assam
TX0053,AC878376,East,BR107,NEFT,96636.7,Success,2025-07-18 10:57:05,web,Individual,Jharkhand
TX0054,AC324054,East,BR105,MANDATE,7438.17,Success,2025-07-21 12:54:40,POS,Individual,Jharkhand
TX0055,AC278393,East,BR108,NEFT,8872.65,Success,2025-07-19 11:13:54,web,Individual,Assam
TX0056,AC650764,East,BR104,NEFT,11827.51,Success,2025-07-20 10:42:46,POS,Individual,West Bengal
TX0057,AC408763,East,BR116,NEFT,74705.76,Success,2025-08-04 16:17:04,POS,Corporate,Jharkhand
TX0058,AC311774,East,BR106,UPI,2725.13,Success,2025-07-21 09:54:20,mobile,Corporate,Assam
TX0059,AC692832,East,BR118,CHEQUE,134196.3,Success,2025-07-19 13:29:03,mobile,Corporate,Jharkhand
TX0060,AC881736,East,BR108,UPI,7510.97,Failed,2025-08-06 06:22:16,POS,Individual,Assam
TX0061,AC949019,East,BR115,NEFT,73540.06,Success,2025-08-04 17:22:31,POS,Corporate,West Bengal
TX0062,AC651148,East,BR119,MANDATE,7986.51,Failed,2025-07-26 02:37:58,ATM,Corporate,Jharkhand
TX0063,AC781640,East,BR102,MANDATE,36440.58,Success,2025-07-24 22:36:46,POS,Corporate,Bihar
TX0064,AC690373,East,BR107,UPI,2498.01,Success,2025-08-01 17:03:43,POS,Corporate,Jharkhand
TX0065,AC281339,East,BR101,CHEQUE,98079.14,Success,2025-07-17 05:13:38,ATM,Corporate,Jharkhand
TX0066,AC484061,East,BR108,CHEQUE,171656.66,Success,2025-07-19 03:17:13,ATM,Individual,West Bengal
TX0067,AC260360,East,BR102,CHEQUE,61078.08,Success,2025-08-05 06:57:40,ATM,Corporate,Bihar
TX0068,AC217872,East,BR113,UPI,6632.16,Pending,2025-07-28 21:56:25,web,Individual,West Bengal
TX0069,AC895189,East,BR103,CHEQUE,119371.1,Success,2025-08-08 08:58:03,mobile,Individual,Bihar
TX0070,AC526543,East,BR107,NEFT,40922.0,Failed,2025-07-21 19:17:25,mobile,Corporate,West Bengal
TX0071,AC232319,East,BR104,UPI,1162.53,Success,2025-08-01 18:47:48,ATM,Individual,West Bengal
TX0072,AC653210,East,BR103,UPI,9306.26,Failed,2025-07-18 23:24:36,web,Corporate,Assam
TX0073,AC119332,East,BR118,NEFT,12068.18,Success,2025-07-18 01:51:30,ATM,Corporate,West Bengal
TX0074,AC399071,East,BR119,UPI,7296.29,Success,2025-07-20 21:18:25,ATM,Corporate,Assam
TX0075,AC298442,East,BR114,CHEQUE,150307.71,Success,2025-07-16 21:12:50,ATM,Individual,Odisha
TX0076,AC959497,East,BR112,CHEQUE,102592.76,Success,2025-07-24 06:27:20,mobile,Individual,West Bengal
TX0077,AC888571,East,BR105,MANDATE,16706.82,Success,2025-08-05 20:21:46,mobile,Corporate,West Bengal
TX0078,AC271000,East,BR117,MANDATE,47184.12,Success,2025-08-02 00:38:45,mobile,Individual,Assam
TX0079,AC782452,East,BR120,NEFT,39280.54,Success,2025-08-02 13:21:23,ATM,Corporate,Bihar
TX0080,AC919386,East,BR107,CHEQUE,118902.93,Success,2025-07-26 17:59:39,ATM,Individual,Odisha
TX0081,AC755615,East,BR119,NEFT,63696.14,Success,2025-07-29 11:50:39,web,Corporate,Jharkhand
TX0082,AC772445,East,BR116,NEFT,56762.35,Success,2025-08-06 14:30:09,mobile,Individual,Odisha
TX0083,AC207898,East,BR107,UPI,9209.27,Success,2025-08-02 05:03:22,ATM,Individual,Odisha
TX0084,AC231044,East,BR109,UPI,5743.3,Success,2025-08-08 20:37:55,POS,Corporate,West Bengal
TX0085,AC884500,East,BR108,MANDATE,37305.65,Success,2025-07-23 21:04:06,web,Corporate,Assam
TX0086,AC500919,East,BR102,NEFT,32410.04,Success,2025-07-29 07:58:58,ATM,Corporate,Jharkhand
TX0087,AC183405,East,BR109,UPI,5838.23,Success,2025-07-29 00:50:45,web,Corporate,Jharkhand
TX0088,AC154400,East,BR105,NEFT,44813.08,Success,2025-07-21 01:06:23,POS,Corporate,Bihar
TX0089,AC896991,East,BR108,NEFT,11114.9,Success,2025-08-04 13:24:48,POS,Individual,Jharkhand
TX0090,AC747315,East,BR107,UPI,4924.3,Success,2025-07-16 09:11:13,POS,Individual,Bihar
TX0091,AC376051,East,BR102,UPI,8971.64,Success,2025-08-02 21:20:34,ATM,Corporate,Jharkhand
TX0092,AC855036,East,BR114,UPI,2002.66,Success,2025-08-06 10:23:13,POS,Corporate,West Bengal
TX0093,AC922430,East,BR111,UPI,626.71,Success,2025-08-08 02:03:26,POS,Corporate,West Bengal
TX0094,AC852215,East,BR119,NEFT,97746.88,Success,2025-07-25 11:18:45,POS,Corporate,Jharkhand
TX0095,AC515528,East,BR114,NEFT,21123.01,Success,2025-07-26 06:27:02,web,Individual,Bihar
TX0096,AC548484,East,BR105,UPI,7703.09,Success,2025-07-24 02:51:30,mobile,Individual,Bihar
TX0097,AC806923,East,BR102,UPI,1044.91,Success,2025-07-24 09:11:18,web,Individual,Bihar
TX0098,AC148743,East,BR115,NEFT,43034.29,Success,2025-07-15 18:49:19,mobile,Individual,Assam
TX0099,AC600456,East,BR116,CHEQUE,188426.48,Success,2025-08-05 03:47:59,web,Corporate,Bihar
TX0100,AC555226,East,BR120,NEFT,52943.18,Success,2025-08-05 00:55:35,ATM,Corporate,Jharkhand
TX0101,AC681646,East,BR117,CHEQUE,156794.09,Success,2025-07-31 09:03:29,ATM,Corporate,Assam
TX0102,AC164395,East,BR103,NEFT,46771.93,Failed,2025-08-08 09:45:23,POS,Corporate,Jharkhand
TX0103,AC967315,East,BR104,MANDATE,11763.74,Success,2025-08-05 17:49:59,web,Individual,Assam
TX0104,AC544660,East,BR113,CHEQUE,104033.69,Failed,2025-07-19 07:10:17,mobile,Individual,West Bengal
TX0105,AC821298,East,BR108,UPI,7032.07,Success,2025-07-17 19:37:17,mobile,Corporate,West Bengal
TX0106,AC201388,East,BR103,NEFT,44897.52,Success,2025-07-30 21:35:38,POS,Individual,Bihar
TX0107,AC552000,East,BR114,UPI,5954.85,Success,2025-07-16 04:56:21,mobile,Individual,Jharkhand
TX0108,AC842825,East,BR115,NEFT,35814.88,Success,2025-07-29 14:23:48,mobile,Corporate,Odisha
TX0109,AC812533,East,BR109,CHEQUE,68106.5,Success,2025-08-04 06:27:00,web,Individual,Bihar
TX0110,AC228571,East,BR112,UPI,7409.06,Success,2025-07-30 11:30:57,ATM,Individual,Bihar
TX0111,AC573569,East,BR105,UPI,8224.57,Success,2025-07-20 03:12:16,ATM,Corporate,Odisha
TX0112,AC707202,East,BR111,NEFT,57294.68,Success,2025-07-21 20:46:23,ATM,Individual,Bihar
TX0113,AC478397,East,BR111,MANDATE,42220.19,Failed,2025-07-26 12:57:57,POS,Individual,Bihar
TX0114,AC116133,East,BR109,NEFT,59962.6,Success,2025-07-27 20:23:22,web,Corporate,West Bengal
TX0115,AC741284,East,BR102,MANDATE,36338.45,Success,2025-08-03 10:48:52,mobile,Corporate,Odisha
TX0116,AC348098,East,BR104,NEFT,15484.19,Success,2025-08-07 10:06:05,ATM,Individual,Assam
TX0117,AC248735,East,BR114,MANDATE,20888.98,Success,2025-08-06 13:24:34,mobile,Corporate,Bihar
TX0118,AC616395,East,BR102,NEFT,20225.38,Failed,2025-07-30 00:33:56,POS,Individual,West Bengal
TX0119,AC977245,East,BR110,UPI,4182.42,Success,2025-07-22 03:33:44,ATM,Individual,West Bengal
TX0120,AC522155,East,BR111,UPI,2563.71,Success,2025-07-15 04:51:02,mobile,Individual,Assam
TX0121,AC517162,East,BR106,MANDATE,44554.35,Success,2025-07-29 02:26:32,mobile,Individual,West Bengal
TX0122,AC444596,East,BR102,UPI,1964.54,Failed,2025-08-03 23:19:04,ATM,Corporate,Bihar
TX0123,AC139016,East,BR105,CHEQUE,120546.48,Success,2025-07-24 10:01:57,POS,Individual,Assam
TX0124,AC396368,East,BR119,MANDATE,25393.62,Success,2025-07-24 05:41:15,mobile,Corporate,Assam
TX0125,AC202895,East,BR103,NEFT,98100.7,Success,2025-08-04 01:24:24,mobile,Individual,Jharkhand
TX0126,AC934136,East,BR115,NEFT,99523.91,Success,2025-08-08 02:20:05,web,Individual,West Bengal
TX0127,AC611517,East,BR117,CHEQUE,25736.1,Success,2025-07-21 05:09:49,web,Individual,Jharkhand
TX0128,AC836968,East,BR113,UPI,8143.83,Success,2025-07-15 09:20:26,mobile,Individual,Jharkhand
TX0129,AC564301,East,BR105,UPI,841.49,Success,2025-07-25 18:50:08,ATM,Corporate,Bihar
TX0130,AC449226,East,BR115,MANDATE,18873.81,Success,2025-07-28 22:50:46,ATM,Individual,Odisha
TX0131,AC853868,East,BR109,UPI,9811.4,Success,2025-07-22 03:47:25,web,Individual,West Bengal
TX0132,AC284096,East,BR101,NEFT,82751.55,Success,2025-07-21 18:59:40,mobile,Individual,Odisha
TX0133,AC808429,East,BR119,NEFT,67230.31,Success,2025-07-22 09:38:58,POS,Individual,Jharkhand
TX0134,AC492527,East,BR108,NEFT,6928.79,Success,2025-08-08 01:46:43,web,Individual,Bihar
TX0135,AC763974,East,BR113,CHEQUE,123104.1,Failed,2025-08-05 11:20:42,mobile,Corporate,Odisha
TX0136,AC387743,East,BR112,UPI,7444.14,Success,2025-07-23 14:17:21,mobile,Individual,Odisha
TX0137,AC537876,East,BR102,CHEQUE,114160.26,Success,2025-07-26 06:46:28,ATM,Individual,Jharkhand
TX0138,AC403906,East,BR118,UPI,2538.21,Success,2025-07-25 02:16:45,POS,Corporate,Bihar
TX0139,AC325193,East,BR102,MANDATE,8896.29,Failed,2025-07-24 05:34:47,mobile,Individual,Assam
TX0140,AC652085,East,BR101,NEFT,57091.98,Success,2025-07-27 11:26:53,web,Corporate,Assam
TX0141,AC260276,East,BR119,UPI,9878.73,Success,2025-07-20 22:23:22,web,Corporate,Odisha
TX0142,AC259090,East,BR111,CHEQUE,34041.52,Success,2025-08-03 21:33:44,ATM,Corporate,Assam
TX0143,AC914727,East,BR103,MANDATE,9735.7,Success,2025-08-07 00:58:32,mobile,Individual,West Bengal
TX0144,AC793821,East,BR111,NEFT,46079.34,Success,2025-07-31 08:38:40,mobile,Individual,Jharkhand
TX0145,AC795608,East,BR111,CHEQUE,79544.75,Success,2025-08-02 08:43:28,mobile,Individual,Bihar
TX0146,AC213305,East,BR104,NEFT,10652.36,Success,2025-08-06 17:22:39,POS,Corporate,Odisha
TX0147,AC886546,East,BR112,NEFT,48363.26,Success,2025-07-15 23:07:35,mobile,Corporate,West Bengal
TX0148,AC788160,East,BR104,CHEQUE,24002.26,Failed,2025-07-24 09:07:17,web,Corporate,Odisha
TX0149,AC831301,East,BR116,NEFT,34537.9,Success,2025-08-06 06:54:21,mobile,Individual,Assam
TX0150,AC813564,East,BR115,NEFT,14602.75,Success,2025-07-31 00:26:51,ATM,Corporate,West Bengal
TX0151,AC577557,East,BR101,MANDATE,29123.29,Success,2025-07-29 21:25:39,mobile,Individual,Assam
TX0152,AC539563,East,BR103,NEFT,89880.09,Success,2025-07-27 13:56:59,POS,Corporate,Odisha
TX0153,AC466319,East,BR114,UPI,8695.08,Failed,2025-07-22 00:31:47,web,Corporate,Jharkhand
TX0154,AC596997,East,BR106,UPI,5017.54,Success,2025-07-26 01:09:55,ATM,Corporate,Assam
TX0155,AC546342,East,BR118,CHEQUE,87905.07,Success,2025-08-08 19:50:49,web,Corporate,West Bengal
TX0156,AC527153,East,BR117,MANDATE,14398.69,Success,2025-07-23 16:53:41,mobile,Corporate,West Bengal
TX0157,AC478760,East,BR109,NEFT,80845.07,Success,2025-07-29 22:21:58,POS,Individual,Jharkhand
TX0158,AC615261,East,BR114,UPI,6221.06,Success,2025-08-06 07:56:59,web,Individual,Bihar
TX0159,AC962724,East,BR115,CHEQUE,189133.79,Success,2025-07-31 19:33:47,mobile,Individual,Jharkhand
TX0160,AC808071,East,BR101,NEFT,35769.91,Failed,2025-07-22 09:08:01,POS,Individual,Assam
TX0161,AC592566,East,BR115,NEFT,70803.14,Success,2025-07-23 23:05:48,POS,Individual,Assam
TX0162,AC492459,East,BR120,NEFT,54797.05,Success,2025-08-08 06:10:58,POS,Individual,Assam
TX0163,AC434117,East,BR111,MANDATE,24454.98,Success,2025-07-30 20:57:51,POS,Corporate,West Bengal
TX0164,AC687789,East,BR102,NEFT,33748.72,Success,2025-07-27 17:42:41,mobile,Individual,Assam
TX0165,AC647929,East,BR120,NEFT,45579.02,Success,2025-08-03 08:22:12,mobile,Corporate,Odisha
TX0166,AC725377,East,BR106,CHEQUE,41841.4,Pending,2025-07-15 19:14:44,POS,Individual,Jharkhand
TX0167,AC220663,East,BR119,CHEQUE,150450.16,Success,2025-08-03 10:03:41,POS,Individual,West Bengal
TX0168,AC988918,East,BR102,UPI,7595.97,Success,2025-07-20 19:20:02,mobile,Individual,West Bengal
TX0169,AC530575,East,BR103,NEFT,50801.12,Success,2025-07-31 13:26:57,mobile,Corporate,Odisha
TX0170,AC612256,East,BR116,MANDATE,29413.41,Failed,2025-07-21 16:52:44,POS,Corporate,Odisha
TX0171,AC688654,East,BR118,NEFT,23262.51,Success,2025-08-06 00:05:43,mobile,Corporate,Assam
TX0172,AC817253,East,BR104,NEFT,89338.85,Pending,2025-07-23 04:18:28,POS,Individual,Bihar
TX0173,AC453643,East,BR115,UPI,510.85,Success,2025-07-31 15:16:39,POS,Individual,Jharkhand
TX0174,AC583197,East,BR101,MANDATE,25045.31,Success,2025-07-15 22:29:59,POS,Corporate,Assam
TX0175,AC896735,East,BR105,NEFT,28674.78,Success,2025-07-27 23:41:11,ATM,Corporate,West Bengal
TX0176,AC344420,East,BR120,MANDATE,10209.43,Success,2025-07-16 21:41:32,POS,Corporate,Odisha
TX0177,AC701151,East,BR106,NEFT,96668.45,Success,2025-08-07 03:53:38,web,Corporate,Odisha
TX0178,AC283839,East,BR109,MANDATE,11151.28,Success,2025-07-21 13:02:20,ATM,Corporate,Odisha
TX0179,AC243888,East,BR107,NEFT,89482.6,Success,2025-07-20 21:20:38,ATM,Individual,West Bengal
TX0180,AC296233,East,BR114,UPI,1649.65,Success,2025-07-24 21:30:31,web,Corporate,Bihar
TX0181,AC354424,East,BR110,NEFT,36259.27,Success,2025-08-01 14:59:40,mobile,Individual,Jharkhand
TX0182,AC714999,East,BR119,UPI,6533.0,Success,2025-07-15 09:15:24,ATM,Individual,Jharkhand
TX0183,AC417825,East,BR120,UPI,7654.75,Success,2025-07-18 14:06:20,ATM,Corporate,Odisha
TX0184,AC575977,East,BR109,NEFT,34114.14,Success,2025-07-28 17:01:10,POS,Corporate,Jharkhand
TX0185,AC271884,East,BR117,CHEQUE,162557.32,Failed,2025-07-22 01:33:33,web,Individual,West Bengal
TX0186,AC329305,East,BR104,NEFT,63236.0,Failed,2025-08-01 12:34:29,mobile,Individual,Assam
TX0187,AC173503,East,BR105,NEFT,19187.36,Success,2025-07-21 11:17:59,POS,Individual,Odisha
TX0188,AC970180,East,BR110,NEFT,68402.03,Success,2025-07-25 02:45:29,ATM,Individual,Jharkhand
TX0189,AC888492,East,BR101,NEFT,85502.07,Success,2025-07-22 07:12:23,ATM,Corporate,Assam
TX0190,AC344458,East,BR106,CHEQUE,127054.89,Success,2025-07-27 08:41:24,POS,Corporate,Odisha
TX0191,AC411856,East,BR119,CHEQUE,184594.8,Success,2025-07-26 15:43:08,ATM,Corporate,Jharkhand
TX0192,AC418358,East,BR102,NEFT,49333.45,Success,2025-07-15 15:32:12,web,Corporate,West Bengal
TX0193,AC716781,East,BR104,UPI,7225.36,Failed,2025-08-08 16:26:16,mobile,Individual,Bihar
TX0194,AC104951,East,BR114,UPI,1277.57,Success,2025-08-06 18:30:00,web,Individual,Jharkhand
TX0195,AC658442,East,BR109,NEFT,95852.2,Success,2025-07-23 20:02:10,ATM,Individual,Assam
TX0196,AC137709,East,BR106,UPI,1211.62,Success,2025-07-25 15:18:23,ATM,Individual,Bihar
TX0197,AC259667,East,BR102,UPI,2146.57,Success,2025-07-17 05:12:34,ATM,Individual,Assam
TX0198,AC494353,East,BR104,UPI,6055.36,Success,2025-08-07 23:22:33,POS,Corporate,Assam
TX0199,AC864507,East,BR103,CHEQUE,101359.79,Success,2025-07-27 00:56:01,ATM,Individual,West Bengal
TX0200,AC971657,East,BR116,NEFT,24835.87,Success,2025-07-24 01:16:46,ATM,Individual,Assam
TX0201,AC369542,East,BR112,NEFT,35644.05,Success,2025-07-25 09:41:03,mobile,Corporate,Bihar
TX0202,AC890617,East,BR118,UPI,9087.51,Pending,2025-07-23 21:49:16,ATM,Corporate,West Bengal
TX0203,AC996985,East,BR116,NEFT,28503.58,Success,2025-07-31 21:06:56,web,Individual,Jharkhand
TX0204,AC781672,East,BR108,UPI,5027.77,Success,2025-08-01 18:38:28,POS,Corporate,Assam
TX0205,AC960243,East,BR106,CHEQUE,177373.21,Success,2025-07-31 17:11:39,web,Corporate,Bihar
TX0206,AC553806,East,BR110,NEFT,27804.13,Failed,2025-08-08 03:20:15,web,Corporate,Assam
TX0207,AC634766,East,BR109,NEFT,62349.57,Success,2025-08-08 08:55:14,ATM,Corporate,West Bengal
TX0208,AC758503,East,BR101,UPI,7740.43,Success,2025-07-21 08:04:39,POS,Individual,Assam
TX0209,AC380275,East,BR114,UPI,8995.51,Success,2025-07-19 14:17:08,POS,Individual,Bihar
TX0210,AC249905,East,BR107,UPI,2691.2,Success,2025-08-06 00:31:11,web,Corporate,Odisha
TX0211,AC260710,East,BR107,UPI,3224.91,Failed,2025-07-16 11:13:54,web,Individual,Assam
TX0212,AC786470,East,BR105,CHEQUE,104459.17,Success,2025-07-21 00:15:36,web,Individual,Odisha
TX0213,AC825909,East,BR103,NEFT,13572.27,Success,2025-07-20 11:40:10,ATM,Individual,Odisha
TX0214,AC218916,East,BR118,MANDATE,34956.7,Failed,2025-07-19 06:31:55,POS,Individual,Odisha
TX0215,AC386365,East,BR104,UPI,2150.56,Success,2025-07-24 04:22:11,ATM,Individual,Bihar
TX0216,AC751486,East,BR113,UPI,5312.72,Success,2025-07-22 02:16:33,mobile,Individual,Odisha
TX0217,AC330716,East,BR104,NEFT,36369.26,Success,2025-07-30 01:37:42,web,Corporate,Assam
TX0218,AC703018,East,BR120,NEFT,58178.31,Success,2025-07-22 03:10:22,ATM,Individual,Bihar
TX0219,AC569839,East,BR116,MANDATE,20871.04,Success,2025-08-03 04:07:37,ATM,Corporate,Jharkhand
TX0220,AC264030,East,BR118,UPI,2665.57,Success,2025-07-21 01:08:33,web,Corporate,Assam
TX0221,AC363489,East,BR109,UPI,8670.34,Success,2025-07-18 06:38:55,ATM,Corporate,Odisha
TX0222,AC102901,East,BR115,CHEQUE,46566.33,Success,2025-07-26 18:01:52,ATM,Corporate,Assam
TX0223,AC116656,East,BR115,NEFT,13880.0,Success,2025-07-20 02:34:58,web,Corporate,West Bengal
TX0224,AC384513,East,BR104,UPI,5880.82,Success,2025-07-24 05:57:05,POS,Individual,Bihar
TX0225,AC845548,East,BR104,CHEQUE,98246.82,Success,2025-08-06 17:21:04,POS,Individual,Jharkhand
