txn_id,account_no,region,branch_code,txn_type,amount,status,timestamp,device_type,customer_type,location
TX0001,AC154907,South,BR103,CHEQUE,67979.69,Success,2025-07-16 12:34:35,POS,Corporate,Kerala
TX0002,AC993477,South,BR106,NEFT,58291.39,Success,2025-07-20 00:57:27,web,Corporate,Tamil Nadu
TX0003,AC173271,South,BR111,CHEQUE,38366.61,Success,2025-08-05 04:08:50,web,Corporate,Tamil Nadu
TX0004,AC551556,South,BR116,NEFT,84594.58,Success,2025-07-25 16:51:30,mobile,Corporate,Telangana
TX0005,AC113157,South,BR117,UPI,5431.34,Success,2025-08-03 15:33:42,ATM,Corporate,Andhra Pradesh
TX0006,AC634843,South,BR106,CHEQUE,34869.76,Success,2025-07-23 05:21:21,ATM,Individual,Tamil Nadu
TX0007,AC858239,South,BR113,UPI,3427.45,Success,2025-07-17 20:23:00,POS,Individual,Andhra Pradesh
TX0008,AC525427,South,BR117,CHEQUE,183647.59,Success,2025-07-30 20:46:14,ATM,Individual,Telangana
TX0009,AC261230,South,BR115,NEFT,48823.13,Success,2025-07-29 06:01:16,POS,Corporate,Telangana
TX0010,AC555363,South,BR101,NEFT,10947.83,Success,2025-07-17 02:27:57,web,Corporate,Andhra Pradesh
TX0011,AC177053,South,BR113,NEFT,35633.51,Pending,2025-07-16 17:21:26,POS,Individual,Telangana
TX0012,AC770174,South,BR114,NEFT,87623.54,Success,2025-08-05 07:47:05,web,Corporate,Karnataka
TX0013,AC663647,South,BR105,MANDATE,39760.32,Success,2025-07-27 11:08:34,POS,Individual,Kerala
TX0014,AC760201,South,BR119,NEFT,10895.3,Success,2025-08-05 00:22:28,ATM,Corporate,Karnataka
TX0015,AC549848,South,BR106,UPI,8726.81,Success,2025-07-19 10:32:06,POS,Individual,Tamil Nadu
TX0016,AC697882,South,BR103,NEFT,53098.64,Success,2025-07-25 08:25:02,web,Individual,Kerala
TX0017,AC629668,South,BR101,NEFT,58639.33,Success,2025-07-25 02:21:35,mobile,Individual,Karnataka
TX0018,AC924264,South,BR116,CHEQUE,159851.8,Success,2025-08-02 15:21:25,mobile,Individual,Andhra Pradesh
TX0019,AC739370,South,BR120,UPI,4995.3,Success,2025-07-18 22:03:23,ATM,Corporate,Tamil Nadu
TX0020,AC801442,South,BR111,NEFT,78177.17,Success,2025-08-08 06:52:11,ATM,Individual,Andhra Pradesh
TX0021,AC982508,South,BR113,UPI,8310.64,Success,2025-08-01 12:23:04,POS,Individual,Andhra Pradesh
TX0022,AC378308,South,BR120,NEFT,94701.0,Success,2025-07-27 09:06:29,POS,Individual,Telangana
TX0023,AC778256,South,BR109,CHEQUE,121297.97,Success,2025-08-06 14:32:36,POS,Corporate,Andhra Pradesh
TX0024,AC151137,South,BR104,NEFT,67719.44,Success,2025-07-30 17:02:30,mobile,Corporate,Karnataka
TX0025,AC487743,South,BR120,CHEQUE,103413.14,Failed,2025-08-03 09:45:37,web,Corporate,Karnataka
TX0026,AC865297,South,BR108,UPI,720.09,Success,2025-07-20 13:22:27,web,Individual,Andhra Pradesh
TX0027,AC620942,South,BR107,NEFT,54853.36,Success,2025-07-31 06:19:31,ATM,Individual,Karnataka
TX0028,AC396167,South,BR103,NEFT,63221.83,Success,2025-07-21 16:59:04,ATM,Corporate,Telangana
TX0029,AC936520,South,BR104,NEFT,46102.62,Success,2025-07-31 11:09:31,mobile,Individual,Andhra Pradesh
TX0030,AC321910,South,BR102,NEFT,24776.61,Success,2025-07-15 00:26:41,POS,Individual,Karnataka
TX0031,AC143874,South,BR114,UPI,9278.96,Success,2025-07-24 21:41:52,POS,Individual,Karnataka
TX0032,AC640535,South,BR112,CHEQUE,103861.18,Success,2025-07-31 21:58:27,ATM,Individual,Tamil Nadu
TX0033,AC509035,South,BR116,CHEQUE,71621.44,Success,2025-08-07 03:08:07,ATM,Corporate,Tamil Nadu
TX0034,AC678604,South,BR101,UPI,3594.76,Success,2025-07-27 01:06:32,web,Corporate,Telangana
TX0035,AC871895,South,BR107,MANDATE,13090.85,Success,2025-07-30 04:54:55,web,Individual,Tamil Nadu
TX0036,AC927152,South,BR111,NEFT,18908.87,Success,2025-07-21 21:25:03,web,Individual,Tamil Nadu
TX0037,AC219942,South,BR103,NEFT,8911.96,Success,2025-07-21 07:15:50,ATM,Corporate,Andhra Pradesh
TX0038,AC804208,South,BR103,UPI,2987.69,Success,2025-07-26 07:52:03,web,Individual,Karnataka
TX0039,AC215687,South,BR110,NEFT,57946.89,Success,2025-08-03 20:55:56,POS,Corporate,Karnataka
TX0040,AC682149,South,BR112,UPI,8480.38,Failed,2025-08-03 09:22:20,web,Corporate,Kerala
TX0041,AC630959,South,BR110,NEFT,73363.84,Success,2025-07-29 03:46:38,mobile,Corporate,Tamil Nadu
TX0042,AC765746,South,BR107,NEFT,39035.38,Success,2025-07-24 20:56:35,mobile,Corporate,Tamil Nadu
TX0043,AC128012,South,BR101,CHEQUE,182166.0,Success,2025-08-08 06:23:11,web,Individual,Kerala
TX0044,AC849154,South,BR104,NEFT,89812.49,Success,2025-07-16 08:23:08,POS,Corporate,Telangana
TX0045,AC197272,South,BR109,UPI,5581.79,Success,2025-08-01 03:58:21,POS,Corporate,Telangana
TX0046,AC560857,South,BR101,NEFT,15758.3,Success,2025-08-08 14:53:24,POS,Individual,Karnataka
TX0047,AC960125,South,BR113,NEFT,24917.31,Failed,2025-07-28 04:51:54,web,Individual,Karnataka
TX0048,AC662170,South,BR114,NEFT,88974.27,Success,2025-07-17 00:07:50,ATM,Corporate,Kerala
TX0049,AC696034,South,BR118,CHEQUE,177504.87,Success,2025-08-01 21:21:01,mobile,Corporate,Tamil Nadu
TX0050,AC398723,South,BR114,NEFT,9271.85,Success,2025-07-19 05:42:03,mobile,Individual,Karnataka
TX0051,AC570785,South,BR107,UPI,7211.57,Failed,2025-08-06 17:23:04,mobile,Individual,Telangana
TX0052,AC560658,South,BR118,MANDATE,36558.79,Success,2025-07-16 04:54:41,web,Individual,Tamil Nadu
TX0053,AC978130,South,BR116,UPI,3404.21,Success,2025-08-05 12:27:42,web,Individual,Andhra Pradesh
TX0054,AC145618,South,BR105,UPI,6475.26,Success,2025-08-05 18:19:23,ATM,Corporate,Karnataka
TX0055,AC397451,South,BR106,UPI,8467.15,Failed,2025-07-17 00:56:37,mobile,Individual,Andhra Pradesh
TX0056,AC576102,South,BR118,UPI,3779.47,Success,2025-07-29 11:41:47,POS,Corporate,Karnataka
TX0057,AC308333,South,BR102,NEFT,60663.12,Success,2025-07-26 13:42:11,web,Individual,Karnataka
TX0058,AC342775,South,BR113,MANDATE,27791.61,Success,2025-08-08 15:59:33,mobile,Corporate,Telangana
TX0059,AC451532,South,BR120,UPI,4220.96,Failed,2025-08-08 20:17:21,ATM,Individual,Kerala
TX0060,AC346706,South,BR102,UPI,7140.64,Success,2025-07-16 04:09:51,mobile,Corporate,Tamil Nadu
TX0061,AC880510,South,BR118,CHEQUE,111553.63,Success,2025-08-08 15:32:42,web,Corporate,Karnataka
TX0062,AC263333,South,BR112,MANDATE,27721.79,Success,2025-07-17 13:47:54,ATM,Corporate,Kerala
TX0063,AC434055,South,BR114,CHEQUE,145498.51,Pending,2025-07-29 14:00:07,web,Corporate,Tamil Nadu
TX0064,AC482874,South,BR108,MANDATE,29671.06,Success,2025-08-01 15:46:49,POS,Individual,Kerala
TX0065,AC134247,South,BR105,UPI,2103.1,Success,2025-07-30 13:40:53,web,Corporate,Karnataka
TX0066,AC780554,South,BR109,MANDATE,21040.72,Success,2025-07-17 11:13:50,web,Individual,Karnataka
TX0067,AC685531,South,BR117,NEFT,51176.45,Success,2025-08-06 15:04:51,mobile,Individual,Karnataka
TX0068,AC466047,South,BR111,UPI,7397.39,Success,2025-07-17 11:32:24,web,Individual,Karnataka
TX0069,AC369651,South,BR104,NEFT,23052.02,Failed,2025-07-28 20:41:58,ATM,Corporate,Tamil Nadu
TX0070,AC569109,South,BR114,NEFT,93937.21,Failed,2025-07-27 12:53:54,POS,Corporate,Tamil Nadu
TX0071,AC466136,South,BR111,UPI,1298.82,Success,2025-07-31 10:02:52,mobile,Corporate,Tamil Nadu
TX0072,AC431431,South,BR105,NEFT,49810.42,Success,2025-08-08 01:39:30,mobile,Individual,Kerala
TX0073,AC446214,South,BR116,UPI,8503.25,Failed,2025-07-20 06:29:30,POS,Corporate,Karnataka
TX0074,AC756872,South,BR115,CHEQUE,68541.31,Success,2025-07-24 02:41:25,ATM,Individual,Andhra Pradesh
TX0075,AC740283,South,BR113,UPI,6165.66,Success,2025-08-08 01:10:44,ATM,Corporate,Kerala
TX0076,AC809969,South,BR109,UPI,7793.05,Success,2025-07-31 07:58:44,ATM,Individual,Telangana
TX0077,AC711573,South,BR118,NEFT,49250.03,Success,2025-07-19 05:22:44,mobile,Individual,Andhra Pradesh
TX0078,AC937163,South,BR114,NEFT,48147.43,Success,2025-08-03 06:18:12,web,Corporate,Kerala
TX0079,AC905191,South,BR120,UPI,1890.98,Success,2025-08-03 21:51:10,POS,Individual,Karnataka
TX0080,AC205449,South,BR102,NEFT,12939.15,Failed,2025-07-28 05:06:35,web,Individual,Karnataka
TX0081,AC786255,South,BR114,CHEQUE,62752.24,Success,2025-07-29 04:37:23,ATM,Individual,Tamil Nadu
TX0082,AC745381,South,BR110,UPI,7282.7,Success,2025-08-02 04:12:14,POS,Corporate,Andhra Pradesh
TX0083,AC630338,South,BR119,CHEQUE,162492.94,Success,2025-07-20 07:31:57,web,Individual,Karnataka
TX0084,AC417351,South,BR101,UPI,7684.96,Failed,2025-07-27 07:35:40,mobile,Corporate,Karnataka
TX0085,AC852936,South,BR109,NEFT,33222.28,Success,2025-07-19 19:13:12,web,Individual,Tamil Nadu
TX0086,AC529974,South,BR110,MANDATE,8195.17,Success,2025-07-31 02:27:34,POS,Individual,Telangana
TX0087,AC897614,South,BR101,NEFT,36743.45,Success,2025-08-07 23:29:54,POS,Individual,Andhra Pradesh
TX0088,AC830408,South,BR116,MANDATE,21773.61,Success,2025-07-26 22:16:17,web,Individual,Andhra Pradesh
TX0089,AC109638,South,BR112,CHEQUE,100538.13,Success,2025-07-22 05:41:43,POS,Individual,Kerala
TX0090,AC856156,South,BR105,CHEQUE,141546.34,Success,2025-07-28 11:24:10,POS,Corporate,Andhra Pradesh
