txn_id,account_no,region,location,branch_code,txn_type,amount,status,device_type,customer_type,timestamp,fraud_type
TX00001,AC93810,South,Tamil Nadu,BR194,CHEQUE,59934.28,Success,web,Individual,2024-08-19 15:22:00,signature_mismatch
TX00002,AC65302,South,Tamil Nadu,BR111,UPI,47234.71,Success,mobile,Individual,2024-08-29 03:41:00,legit
TX00003,AC64987,North,Haryana,BR175,CHEQUE,62953.77,Success,mobile,Individual,2024-08-08 11:12:00,timing_anomaly
TX00004,AC30379,North,Uttar Pradesh,BR113,NEFT,80460.6,Success,tablet,Corporate,2024-08-24 22:51:00,unauthorized_device
TX00005,AC15695,West,Maharashtra,BR148,NEFT,45316.93,Success,tablet,Individual,2024-07-07 07:56:00,duplicate_payment
TX00006,AC39871,East,West Bengal,BR129,NEFT,45317.26,Success,ATM,Corporate,2024-07-15 19:19:00,amount_tampering
TX00007,AC37460,East,West Bengal,BR177,UPI,81584.26,Success,web,Individual,2024-08-12 01:49:00,amount_tampering
TX00008,AC93886,North,Uttar Pradesh,BR198,NEFT,65348.69,Success,mobile,Corporate,2024-08-06 12:21:00,unauthorized_device
TX00009,AC37653,East,Odisha,BR183,MANDATE,40610.51,Success,ATM,Individual,2024-07-25 02:38:00,mandate_violation
TX00010,AC83579,East,Jharkhand,BR174,MANDATE,60851.2,Success,web,Corporate,2024-07-09 06:35:00,legit
TX00011,AC24371,North,Punjab,BR187,MANDATE,40731.65,Success,ATM,Corporate,2024-08-24 05:44:00,legit
TX00012,AC79352,East,West Bengal,BR187,NEFT,40685.4,Success,tablet,Corporate,2024-07-11 03:41:00,unauthorized_device
TX00013,AC30730,West,Maharashtra,BR192,CHEQUE,54839.25,Pending,web,Individual,2024-08-26 21:59:00,unauthorized_device
TX00014,AC93748,North,Punjab,BR147,UPI,11734.4,Success,mobile,Corporate,2024-08-14 11:22:00,duplicate_payment
TX00015,AC57576,East,Odisha,BR107,UPI,15501.64,Failed,mobile,Individual,2024-08-14 05:39:00,legit
TX00016,AC79822,North,Punjab,BR184,MANDATE,38754.25,Failed,web,Corporate,2024-08-18 00:43:00,legit
TX00017,AC65461,North,Punjab,BR191,CHEQUE,29743.38,Success,tablet,Corporate,2024-08-17 02:39:00,fake_cheque
TX00018,AC42493,North,Delhi,BR143,NEFT,56284.95,Success,web,Individual,2024-07-01 15:42:00,signature_mismatch
TX00019,AC92719,South,Karnataka,BR108,NEFT,31839.52,Failed,mobile,Individual,2024-07-26 08:20:00,legit
TX00020,AC38080,North,Haryana,BR131,MANDATE,21753.93,Success,web,Individual,2024-07-09 19:44:00,legit
TX00021,AC56438,West,Goa,BR159,NEFT,79312.98,Success,mobile,Individual,2024-08-06 15:32:00,legit
TX00022,AC24322,North,Punjab,BR124,MANDATE,45484.47,Success,web,Corporate,2024-08-12 02:37:00,unauthorized_device
TX00023,AC19880,West,Maharashtra,BR106,NEFT,51350.56,Pending,web,Individual,2024-08-06 23:49:00,fake_cheque
TX00024,AC38016,West,Maharashtra,BR121,MANDATE,21505.04,Success,ATM,Corporate,2024-08-11 09:58:00,unauthorized_device
TX00025,AC82845,West,Gujarat,BR124,CHEQUE,39112.35,Success,mobile,Individual,2024-07-29 13:04:00,duplicate_payment
TX00026,AC86569,West,Gujarat,BR107,NEFT,52218.45,Failed,mobile,Individual,2024-07-22 09:48:00,amount_tampering
TX00027,AC84668,North,Delhi,BR179,NEFT,26980.13,Success,tablet,Corporate,2024-07-19 14:12:00,legit
TX00028,AC51180,North,Uttar Pradesh,BR150,UPI,57513.96,Success,tablet,Corporate,2024-07-29 18:41:00,legit
TX00029,AC19508,South,Andhra Pradesh,BR179,NEFT,37987.23,Success,web,Corporate,2024-07-13 01:21:00,legit
